115N05520,56,39,10
115N05521,36,25,8
115N05522,73,44,8
113N08647,551,165,10
113N08648,322,128,10
113N08645,294,86,9
113N08646,106,83,9
115N05527,49,22,4
115N05528,43,26,7
113N08649,690,154,9
115N05529,11,11,4
115N05523,39,34,9
115N05524,134,85,11
115N05525,17,12,6
115N05526,5,4,4
115N05532,65,40,6
113N08630,79,22,6
115N05533,117,63,8
113N08631,91,24,7
113N08632,79,19,8
115N05530,7,7,4
115N05531,37,24,5
115N05538,69,47,8
115N05539,80,43,8
115N05536,98,64,8
115N05534,61,42,6
115N05535,89,61,8
113N10899,33,16,7
113N10898,35,24,8
113N10897,59,22,7
113N10895,83,22,7
113N10894,17,12,6
113N10893,8,7,3
113N10891,3,2,2
113N10890,13,7,3
113N08626,288,38,6
115N09787,46,30,10
115N05501,140,76,10
115N05502,117,53,12
115N09788,1,1,1
115N05503,189,56,11
115N09789,17,13,8
113N08629,66,21,5
115N05505,168,66,9
115N09783,29,15,5
115N05506,157,88,10
115N09784,34,26,7
115N05507,163,69,9
113N08627,242,39,6
115N09785,45,30,8
113N08628,83,42,6
115N05508,102,62,10
115N09786,37,25,7
115N09780,18,9,6
115N09782,40,26,8
115N09781,25,15,6
115N05510,38,17,5
115N05511,41,22,6
115N05514,99,66,7
115N05515,32,30,8
115N05512,31,16,5
115N09798,36,22,7
115N05513,61,24,7
115N09799,97,31,9
115N05518,25,17,8
115N09796,7,7,5
115N05519,28,23,10
115N09797,13,9,5
115N05516,41,35,8
115N09794,13,11,5
115N05517,56,34,10
115N09795,6,6,5
115N09793,27,11,6
115N09792,56,20,8
115N09791,29,21,6
115N05509,21,19,9
115N09790,10,8,3
115N09762,3,3,2
115N09761,11,9,3
115N09764,1,1,1
115N09766,4,2,1
115N09765,9,7,3
115N09768,31,14,7
115N09767,6,1,1
113N08688,133,17,8
113N08687,116,23,9
115N09769,18,11,8
113N12803,16,13,4
113N08686,283,31,9
113N08685,75,20,5
113N08689,114,14,6
113N08680,125,28,8
113N08683,100,21,4
113N08684,29,7,3
113N08681,167,33,8
113N08682,229,42,9
115N09760,13,5,4
115N09775,18,15,6
115N09774,18,14,5
115N09773,7,6,3
115N09772,68,17,6
115N09779,84,33,7
115N09778,1,1,1
115N09777,31,15,6
115N09776,31,15,7
113N08675,1051,166,11
113N08674,509,105,11
113N08677,167,84,9
113N08676,80,66,8
113N08679,207,106,11
113N08678,968,175,11
113N08670,123,33,5
113N08671,324,54,9
113N08672,114,44,9
113N08673,144,54,11
115N09770,87,28,9
115N09771,32,12,5
115N09744,150,91,9
115N09743,208,123,11
115N09746,43,33,10
115N09745,61,44,9
115N09742,27,23,7
115N09741,52,29,8
113N12820,74,18,6
113N12821,64,36,11
113N08669,209,48,7
