118P05503,57,29,9
118P11472,127,24,2
118P05502,124,58,10
118P11471,30,17,2
118P05501,106,53,11
118P11470,43,7,4
118P05500,81,41,11
118P05507,115,61,12
118P05506,326,98,12
118P05505,75,34,10
118P05504,95,47,10
118P11479,29,7,3
118P11478,40,5,3
118P11476,3,2,2
118P11475,7,2,2
118P11474,644,28,3
118P11473,324,44,2
118P05512,145,58,12
118P11461,18,1,1
118P05513,198,77,13
118P11460,33,1,1
118P05516,135,53,9
118P05515,49,29,10
118P05518,22,13,5
118P05517,25,18,8
118P11467,30,3,3
118P11466,31,3,3
118P11469,2,1,1
118P11463,26,1,1
118P11462,9,1,1
118P05510,294,84,11
118P11465,34,3,3
118P11464,25,1,1
118P11459,5,2,1
118P05508,104,53,12
118P05509,200,74,11
118P05529,133,34,9
118P11490,8,3,2
118P05528,31,12,5
118P05527,31,17,7
118P05526,68,13,6
118P05525,35,22,8
118P11494,2,2,2
118N11311,99,18,8
118N11310,41,13,6
118P11493,5,3,2
118N11313,18,3,2
118P05523,26,14,7
118P11492,4,3,2
118N11312,61,17,8
118P11491,3,2,1
118P05521,158,34,8
118P11498,8,3,3
118P05520,28,16,5
118P11496,6,3,3
118P11495,10,2,2
118P11499,35,5,3
118N11303,1,1,1
118N11304,2,1,1
118N11306,22,7,3
118N11307,4,2,1
118N11308,11,6,4
118P05519,29,20,7
118N11309,50,11,5
118P05538,144,33,8
118P05534,22,13,9
118P11481,4,4,1
118P11480,2,2,1
118P11483,145,12,4
118P05536,25,14,7
118N11300,5,3,1
118P11482,45,7,3
118P05535,15,12,6
118P05530,68,31,9
118P11485,11,5,4
118P11484,33,11,4
118P05532,76,19,7
118P11486,28,14,1
118P11488,3,2,1
116P08982,13,9,3
118P11435,37,4,2
116P08981,10,7,4
118P11436,49,4,2
118P11433,9,4,1
118P11434,10,4,1
118P11431,17,6,2
116P08985,14,10,9
118P11432,25,5,1
116P08988,86,34,9
116P08987,18,10,3
118P11430,3,3,2
116P08989,22,7,5
118N15890,145,20,6
118N15891,160,27,10
118N15892,39,12,5
118N15893,27,9,6
118N15894,31,5,2
118N15896,116,21,9
118P11429,20,8,4
118N15897,68,15,8
118P11428,6,5,3
118N15898,114,20,11
118P11427,62,11,2
118N15899,75,15,8
118P11426,308,13,3
118P11422,2,2,1
118P11423,18,4,1
116P08972,26,3,2
