129N05157,106,62,11
129N06689,129,26,8
129P07412,50,9,7
129N06688,67,28,8
129P07413,35,11,6
129N06687,44,17,5
129P07410,29,9,6
129N06686,1090,149,12
129P07411,12,6,5
129N05153,260,89,11
129N06685,216,69,10
129P07416,38,8,3
129N07296,4,2,2
129N05154,48,42,10
129P07417,19,6,2
129N06684,103,59,10
129N05155,47,32,8
129N07294,14,7,5
129N06683,66,34,8
129P07414,50,9,3
129N05156,992,133,11
129N06682,163,55,9
129P07415,42,8,4
129N07295,7,5,4
129N06681,135,50,8
129N05150,951,131,13
129N06680,144,53,9
129N05151,682,138,11
129N07298,57,28,8
129N05152,110,64,11
129N07299,237,45,10
129N07293,7,4,3
129N07292,51,17,8
129N07291,27,16,8
129N07290,63,24,8
129N06697,2,2,2
129N05168,1072,135,12
129P07423,4,3,3
129N05169,1018,124,11
129P07424,58,8,4
129N06694,33,20,6
129N05166,39,36,9
129P07425,15,3,2
129N05167,582,168,12
129N06693,68,33,6
129P07426,6,5,3
129N05164,147,83,12
129P07427,10,6,3
129N06696,25,11,4
129N06695,68,21,7
129N05165,37,34,9
129P07428,24,4,3
129N06690,11,9,5
129P07429,2,2,2
129N05163,365,126,13
129N06692,258,61,10
129N06691,69,37,9
129N05179,419,162,14
129N08803,782,175,14
129N08802,370,106,11
129N08805,158,68,9
129N08804,112,48,8
129N08801,292,78,9
129N08800,101,55,11
129N05171,1529,139,12
129N05172,638,138,13
129N05173,556,115,12
129N05174,563,138,11
129N05175,1303,198,14
129N05176,1317,194,16
129N05177,3196,226,15
129N05178,857,196,17
129N05170,902,123,12
129N08816,32,13,7
129P07400,284,58,6
129N08815,103,22,9
129N08814,31,22,6
129N08813,78,47,8
129N08812,80,37,8
129N08811,57,33,8
129N08810,50,26,7
129N05184,954,212,15
129P07407,82,14,8
129N05185,1095,157,11
129P07408,2,2,2
129N05182,599,238,15
129P07409,23,10,5
129N05183,217,112,13
129N05188,217,65,11
129P07403,100,69,11
129P07404,206,55,9
129N05189,99,9,4
129P07405,79,29,9
129N05186,751,125,12
129N05187,282,71,12
129P07406,130,27,8
129N05181,276,124,13
129N05180,723,177,11
129N08808,3,3,3
129N08809,97,43,9
129N08806,215,61,10
129N08807,140,38,9
129N05198,143,85,10
129N06640,43,14,6
129N05197,511,86,10
129P08900,167,39,8
129N06641,41,12,5
129P08901,96,24,9
129P08902,80,32,10
129N05199,294,105,10
129P08903,59,27,9
129N05194,246,53,8
129P08904,40,20,7
129N05193,77,57,10
129P08905,142,63,13
129P08906,139,55,11
129N05195,141,61,8
129N06648,411,39,10
129N06649,39,23,8
129N06646,140,28,6
129N06647,178,34,8
129N06644,58,17,7
129N06642,64,21,7
129N06643,39,17,6
129N06639,18,11,6
129N05190,14,9,4
129N05191,1,1,1
129N05192,344,140,13
129P08912,37,8,4
129P08913,14,5,3
129N06651,185,45,10
129P08910,91,26,8
129N06652,305,25,10
129P08916,55,14,8
129P08917,57,10,7
129P08914,22,7,3
129P08915,16,6,2
129N06657,652,86,10
129N06658,240,42,9
129N06659,67,21,5
129N06653,111,29,8
129N06654,88,42,6
129N06655,319,55,9
129N06656,67,33,6
129P08909,35,19,7
129P08908,259,60,9
129P08907,337,65,12
129N06662,171,55,10
129N06663,216,82,11
129N06660,254,48,10
129N06661,207,43,9
129N06666,45,24,8
129N06667,88,17,7
129N06664,120,54,10
129N06668,178,25,10
129N06669,117,36,10
129N06670,47,26,9
129N06671,34,22,7
129N06672,389,43,10
129N06673,462,50,10
129N06674,147,24,8
129N06675,308,32,9
129N06676,283,33,9
129N06677,67,48,7
129N06678,149,57,9
129N06679,190,60,8
129P08942,40,15,7
129P08941,133,59,12
129P08940,61,38,12
129P08946,126,67,12
129P08945,123,54,10
129P08944,96,22,6
129P08943,141,35,10
129P08949,90,36,9
129P08948,400,100,14
129P08947,27,27,8
129P08951,112,38,8
129P08950,97,48,10
129P08952,56,27,7
129P08955,175,55,13
129P08954,166,51,9
129P08957,154,56,9
129P08959,56,27,8
129P08958,110,50,10
129P08918,76,26,6
129P08919,82,29,6
129P08920,43,26,6
129P08926,120,26,8
129P08925,200,71,9
129P08924,111,54,7
129P08923,100,45,9
129P08922,91,36,8
129P08921,42,17,6
129P08929,83,35,8
129N05102,62,47,10
129N05103,1438,283,11
129P08931,140,54,10
129N05104,35,32,5
129N05105,9,9,7
129N05106,53,43,8
129N05107,132,83,10
129N05108,104,82,11
129N05109,36,32,8
129P08937,54,21,7
129P08936,91,45,9
129P08938,321,40,9
129P08933,113,40,9
129P08932,89,34,6
129N05100,454,161,12
129P08935,44,25,6
129N05101,191,107,12
129P08934,125,46,8
129N05112,129,98,8
129P08989,257,86,12
129N05111,50,44,6
129N05110,39,32,5
129P08987,155,64,11
129P08988,543,126,13
129P08981,57,35,9
129P08982,69,40,8
129N05119,99,65,11
129N05118,57,47,10
129P08980,37,26,7
129N05117,254,94,11
129P08985,102,50,10
129N05116,324,99,11
129N05115,612,132,12
129P08986,64,33,8
129P08983,71,37,9
129N05114,274,114,12
129P08984,270,82,13
129N05113,31,28,10
129N05121,67,52,11
129P08999,118,48,9
129N05120,112,67,10
129N05123,60,43,9
129N05122,170,58,9
129P08990,76,29,11
129N05129,63,44,7
129P08991,148,34,10
129N05128,32,26,7
129P08992,77,29,11
129P08993,178,58,13
129N05125,53,42,7
129P08994,58,43,10
129P08995,532,117,11
129N05124,114,55,9
129P08996,94,39,10
129N05127,172,59,7
129P08997,52,22,9
129N05126,84,45,8
129N05130,15,13,5
129P08969,94,35,11
129P08967,209,67,12
129N05134,30,25,7
129N05133,31,24,7
129N05132,11,10,5
129P08966,208,58,12
129N05131,33,21,6
129N05138,118,57,9
129P08963,13,13,7
129N05137,42,30,8
129P08964,12,10,5
129P08961,166,72,12
129N05136,56,43,7
129N05135,50,43,7
129P08962,215,70,12
129P08960,44,16,7
129N05139,43,35,6
129N05141,29,26,5
129N05140,6,4,4
129N05143,548,223,14
129P08976,111,46,8
129N05142,525,227,14
129N05145,421,192,13
129P08978,96,35,9
129N05144,660,207,13
129P08979,101,34,9
129N05147,548,143,12
129P08972,2,2,2
129N05146,433,158,12
129N05149,437,128,11
129N05148,586,149,13
129P08975,187,89,11
129P08970,82,37,11
129P08971,122,47,10
129P08894,47,25,5
129P08893,38,11,5
129P08892,28,11,6
129P08891,22,9,3
129P08898,180,91,13
129P08896,122,41,9
129P08895,82,35,6
129P08890,30,17,7
129P08881,107,37,8
129P08883,262,56,10
129P08882,37,25,5
129P08885,76,32,7
129P08884,85,28,7
129P08887,69,15,7
129P08886,52,14,6
129P08889,34,8,5
129P08888,77,10,5
129N07301,52,29,7
129N07300,12,11,7
129N07306,284,61,9
129N07309,177,28,9
129N07303,148,46,8
129N07302,29,18,5
129N07305,127,35,9
129N07304,378,43,9
129N07321,62,39,8
129N07320,384,108,12
129N07323,84,37,7
129N07322,59,28,8
129N07325,114,22,9
129N07324,138,52,8
129N07327,2,2,1
129N07326,20,9,3
129N07329,40,21,6
129N07312,178,63,12
129N07311,169,64,13
129N07310,71,25,7
129N07316,199,105,10
129P07398,281,41,4
129N07315,271,123,13
129P07397,16,15,5
129N07314,85,65,9
129P07396,65,42,5
129N07313,118,56,11
129P07395,42,14,5
129N07319,153,95,10
129N07318,216,101,9
129P07399,337,41,5
129N07317,129,88,10
129P07393,16,12,3
129P07394,6,6,3
129P07391,60,11,4
129P07392,66,12,3
129N06608,248,76,10
129P07383,36,13,7
129N06609,25,24,6
129N06606,524,157,10
129P07381,4,4,3
129N06607,209,78,12
129P07380,24,15,5
129N06612,160,43,10
129N06611,57,27,8
129N08879,16,13,6
129N06610,58,33,7
129P07389,3,1,1
129N06616,259,54,7
129N08876,78,45,9
129N07348,3,3,2
129N06615,248,71,8
129N08875,6,6,3
129N07349,32,13,5
129N06614,129,59,8
129P07384,31,4,3
129N07346,25,14,5
129N08878,1,1,1
129N06613,117,50,7
129N08877,325,110,13
129P07385,13,8,3
129N07347,2,2,1
129N07344,9,8,6
129N07345,19,16,7
129N08874,62,23,6
129N07342,39,15,7
129N07343,84,19,9
129N07340,174,52,9
129P07370,6,6,4
129N07339,2,2,2
129P07377,19,6,5
129P07378,6,6,4
129N06601,39,25,6
129P07379,1,1,1
129N06600,195,36,9
129N06603,205,45,9
129N07335,47,27,10
129P07373,4,4,3
129N06602,338,72,11
129N07336,79,40,10
129P07374,3,3,2
129N08865,21,16,8
129N06605,64,39,7
129N07337,56,33,9
129P07375,3,2,2
129N08864,357,161,12
129N07338,126,50,10
129N06604,81,25,6
129P07376,29,8,6
129N07331,121,74,12
129N08863,410,160,14
129N07332,133,63,11
129N07333,228,79,13
129N08860,50,34,8
129N07334,111,58,11
129N07330,32,19,7
129P07361,43,35,8
129P07360,8,7,4
129N06628,63,27,6
129N06629,81,31,7
129N08898,70,50,10
129P07364,122,29,8
129N06638,30,16,7
129N08897,221,98,11
129N06637,36,18,8
129N06636,9,4,3
129N07368,28,7,4
129P07362,6,6,2
129P07363,12,11,4
129N06635,25,11,6
129N07369,30,7,5
129P07368,15,6,3
129N06634,5,4,2
129N06633,21,7,4
129P07369,4,2,2
129N06632,76,20,4
129P07366,14,2,2
129N06631,62,22,6
129N06630,85,38,8
129N07362,10,8,3
129N08890,26,7,4
129N07363,88,25,6
129N08892,22,5,2
129N07360,62,18,6
129N07361,7,7,4
129N08891,24,6,4
129N08894,76,20,6
129N07366,27,4,3
129N08893,32,13,5
129N07364,49,23,5
129N08895,135,43,8
129N06617,39,32,6
129N06618,64,17,7
129P07350,27,14,6
129N06619,24,8,3
129N06625,42,38,8
129N07357,44,18,5
129N08889,20,17,5
129P07351,23,9,4
129N06624,23,13,2
129N08888,8,4,3
129P07352,24,4,2
129N08887,22,7,5
129N07359,2,2,2
129N06627,2,2,2
129P07353,1,1,1
129P07354,68,15,5
129N06626,34,19,4
129N08886,48,15,6
129P07355,26,10,5
129N06621,8,5,3
129P07356,29,13,7
129N06620,45,19,6
129P07357,24,13,5
129N06623,39,9,5
129N06622,28,8,5
129N08881,52,29,8
129N08880,165,45,11
129N07350,11,6,4
129N07351,2,2,2
129N07352,4,2,2
129N07353,33,9,4
129N08885,17,10,4
129N08884,85,29,7
129N07354,15,7,5
129N08883,84,47,10
129N07355,6,4,3
129N08882,321,55,10
129N07356,31,9,5
129N08829,81,25,9
129N08828,304,137,16
129N07380,16,13,4
129N07381,112,30,5
129N07388,4,1,1
129N08830,116,43,8
129N07385,1,1,1
129N07384,17,4,4
129N07383,43,4,4
129P07349,1,1,1
129P07348,5,5,4
129N08835,92,47,10
129P07347,4,4,4
129N08836,92,28,7
129N08837,71,27,8
129P07345,4,4,2
129N08838,129,32,10
129P07344,25,23,7
129N08831,92,52,10
129P07343,21,13,5
129N08832,96,53,11
129N08833,89,49,12
129P07341,158,41,8
129N08834,216,109,12
129P07340,1,1,1
129N08819,171,57,9
129N08818,66,29,8
129N08817,25,14,5
129N07376,48,8,5
129N07375,80,7,4
129N07378,21,10,4
129N07377,23,7,4
129P07338,24,16,6
129N07372,5,5,4
129P07337,46,23,9
129N07371,1,1,1
129N07374,2,2,2
129P07339,81,38,10
129N07373,1,1,1
129P07334,290,100,12
129N08826,94,37,10
129P07333,68,46,9
129N08827,433,131,15
129N08824,53,27,10
129P07336,54,32,9
129N08825,97,48,12
129P07335,90,50,10
129N08822,79,31,11
129P07330,11,8,5
129N08823,55,32,8
129N07379,13,11,3
129P07332,63,41,10
129N08820,63,31,8
129P07331,151,76,12
129N08821,23,13,6
129P07327,7,7,3
129P07326,76,21,9
129N08850,69,27,7
129N08851,103,37,9
129N08852,138,42,11
129N08853,420,90,12
129P07321,41,30,8
129P07320,629,91,11
129N08854,315,124,12
129N08855,3,3,1
129N08856,84,44,8
129P07325,107,49,8
129N08857,72,38,7
129P07324,80,33,9
129N08858,133,44,9
129P07323,36,25,9
129N08859,57,33,8
129P07322,88,38,9
129N08839,125,35,8
129N07390,40,10,2
129N07391,38,11,2
129N07392,12,12,3
129P07316,405,120,13
129N07394,37,14,6
129P07315,138,74,12
129N07393,2,2,1
129P07318,174,77,10
129N07396,21,18,6
129P07317,283,105,12
129N07395,54,15,5
129N07398,329,45,5
129N08840,171,67,9
129P07319,338,101,12
129N07397,71,48,9
129N08841,182,76,10
129N07399,297,56,7
129N08844,26,14,5
129N08845,75,42,10
129P07310,261,36,9
129N08842,27,20,8
129P07312,160,51,12
129N08848,38,12,5
129N08849,51,24,6
129P07314,74,41,11
129N08846,5,4,3
129N08847,72,31,9
129P07313,190,50,12
129N08924,174,62,9
129N08923,197,75,9
129N08925,87,22,3
129N08920,55,19,6
129N08922,115,49,9
129N08921,79,34,6
129N08916,50,13,4
129N08917,86,37,7
129N08918,88,38,10
129N08919,82,31,9
129N08937,182,34,9
129N08936,148,44,10
129N08935,95,37,9
129N08934,53,34,8
129N08933,90,33,8
129N08932,76,33,7
129N08931,79,36,7
129N08930,92,44,8
129N08929,2,2,2
129N08928,60,30,8
129N08900,126,25,8
129N08902,84,39,8
129N08901,129,46,12
129N08904,205,84,10
129N08903,60,25,5
129P07304,76,31,9
129P07305,251,43,10
129P07306,229,43,10
129P07307,319,72,11
129N08911,54,11,7
129N08910,1,1,1
129P07300,218,53,10
129N08915,45,13,7
129N08914,26,5,4
129P07301,10,9,7
129P07302,37,22,8
129N08913,28,11,6
129P07303,23,17,8
129N08912,14,9,6
129N08907,192,58,9
129N08908,49,30,9
129N08905,150,65,10
129N08906,293,67,11
129N08909,58,20,6
129N06787,65,9,5
129N06788,41,7,4
129N06785,11,7,4
129N06786,26,6,4
129N06789,12,7,3
129N06780,27,10,5
129N06783,39,12,4
129N06784,29,6,2
129N06781,10,1,1
129N06782,34,18,5
129N06796,29,14,4
129N06797,276,79,7
129N06798,40,30,7
129N06790,2,1,1
129N06792,67,34,8
129N06793,90,27,6
129N06794,11,9,4
129N06795,42,9,4
129N06767,5,5,4
129N06768,300,44,9
129N06765,147,44,8
129N06766,92,40,8
129N06763,87,42,7
129N06764,191,42,8
129N06761,302,60,9
129N06762,255,52,10
129N06760,2,2,1
129N06779,7,4,3
129N06774,13,3,1
129N06775,36,2,1
129N06772,367,27,6
129N05209,154,77,10
129P08807,192,54,10
129P08806,36,23,9
129P08804,439,96,12
129P08803,306,106,14
129N05210,288,72,10
129P08802,166,61,11
129N05211,233,65,8
129P08801,54,44,10
129P08800,88,48,10
129N05214,307,48,9
129N05215,234,42,8
129N05212,160,55,8
129N05213,329,42,8
129N05218,77,61,8
129N05219,152,66,8
129N05216,33,31,6
