125N06413,22,15,5
125N07941,104,37,10
125N06414,3,3,2
125N07940,705,80,13
125N07943,151,46,9
125N07942,218,65,10
125N06412,234,62,9
125N06410,328,120,11
125N04998,7,4,3
125N04999,4,4,3
125N04992,718,353,13
125N04993,1220,470,14
125N07948,31,13,5
125N04994,777,364,13
125N06419,27,20,8
125N14739,153,62,8
125N04995,303,186,12
125N07945,195,70,9
125N06417,131,25,8
125N06418,127,30,8
125N07944,474,68,10
125N04990,2138,643,12
125N06415,57,24,7
125N04991,940,424,13
125N07946,218,31,8
125N06416,18,14,6
125N14744,20,13,7
125N14745,37,18,5
125N14743,39,16,9
125N14748,47,26,7
125N14749,1,1,1
125N14746,6,5,4
125N14747,92,19,8
125P16313,35,10,4
125N14740,30,20,6
125N14741,48,18,6
125P16315,3,3,2
125N07932,202,47,8
125N06400,40,19,6
125N06401,94,40,11
125N07931,135,37,8
125N04989,1351,534,13
125N07930,106,41,7
125N06403,8,8,5
125N04987,828,399,13
125N04988,1176,499,13
125N04985,406,196,12
125N04986,688,347,12
125N04983,538,224,13
125N06408,212,55,6
125N04984,443,191,12
125N07939,286,66,13
125N06409,17,14,5
125N04981,542,244,12
125N07938,257,33,10
125N04982,724,285,14
125N07937,236,35,10
125N07936,238,68,10
125N06404,98,20,6
125N04980,759,346,12
125N07935,56,32,8
125N06405,144,60,9
125N07934,214,76,8
125N06406,811,172,13
125N06407,368,55,7
125N07933,31,23,5
125N14753,142,33,8
125N14754,50,25,7
125N14755,198,65,13
125N14756,259,77,11
125N14757,61,28,7
125N14758,57,23,8
125N14759,6,5,3
125N14750,40,23,7
125N14751,204,38,9
125N14752,181,47,7
125N06431,30,24,7
125N06432,168,40,9
125N07961,254,69,12
125N07960,105,45,11
125N06430,154,61,9
125N07963,78,51,10
125N06435,7,6,4
125N07962,156,70,11
125N06436,32,20,6
125N07965,25,10,6
125N06433,19,9,4
125N07964,45,18,7
125N06434,5,5,3
125N06439,13,9,2
125N07967,8,8,5
125N07966,24,11,3
125N07969,236,106,12
125N06437,192,34,8
125N07968,894,176,13
125N06438,55,27,7
125N14768,147,62,8
125N14769,242,119,11
125N14766,343,87,11
125N14767,282,80,10
125N14764,2,2,2
125N14765,45,32,11
125N14762,31,19,10
125N14763,198,52,10
125N14760,12,5,4
125N14761,98,35,10
125N06420,123,62,11
125N06421,219,91,12
125N07954,200,35,7
125N06422,1,1,1
125N07953,339,83,13
125N06423,22,8,2
125N07952,116,33,9
