115N05520,47,33,8
115N05521,24,20,6
115N05522,52,36,7
113N08647,475,133,10
113N08648,251,105,10
113N08645,304,74,9
113N08646,122,69,10
115N05527,45,22,5
115N05528,50,27,7
113N08649,551,128,9
115N05529,9,6,3
115N05523,33,28,6
115N05524,132,77,7
115N05525,22,15,6
115N05526,8,8,3
113N08630,58,16,5
115N05532,45,28,6
115N05533,67,42,7
113N08631,93,22,6
113N08632,93,18,8
115N05530,7,6,4
115N05531,31,15,5
115N05538,51,28,6
115N05539,44,25,6
115N05536,55,34,9
115N05534,45,24,7
115N05535,54,28,5
113N10899,24,16,5
113N10898,11,9,5
113N10897,36,14,5
113N10895,55,20,9
113N10894,16,8,4
113N10893,4,3,3
113N10892,2,2,2
113N10891,1,1,1
113N10890,3,3,2
113N08626,242,37,5
115N05501,129,78,11
115N09787,50,21,8
115N05502,138,54,11
115N09788,3,3,2
115N09789,10,8,3
115N05503,154,53,10
115N09783,24,15,7
113N08629,48,15,3
115N05505,213,58,11
115N05506,231,89,10
115N09784,49,24,9
115N05507,160,59,10
113N08627,225,39,6
115N09785,41,23,8
115N09786,58,29,10
115N05508,97,51,11
113N08628,72,37,6
115N09780,27,15,8
115N09782,58,23,8
115N09781,44,16,6
115N05510,21,11,4
115N05511,17,13,5
115N05514,190,76,7
115N05515,43,27,5
115N05512,16,13,4
115N09798,61,23,6
115N09799,162,35,11
115N05513,72,23,6
115N09796,19,9,6
115N05518,16,16,5
115N05519,27,17,7
115N09797,20,9,6
115N05516,63,45,6
115N09794,25,15,6
115N05517,32,22,7
115N09795,6,4,2
115N09793,15,13,6
115N09792,39,21,7
115N09791,25,18,6
115N09790,20,14,6
115N05509,13,11,8
115N09762,1,1,1
115N09761,11,9,4
115N09764,3,1,1
115N09763,1,1,1
115N09766,11,7,4
115N09765,8,4,3
115N09768,43,18,6
113N08688,79,11,4
113N08687,91,15,6
113N12803,16,13,7
115N09769,12,9,5
113N08686,165,22,7
113N08685,45,18,5
113N08689,90,12,7
113N08680,86,30,7
113N08683,145,22,6
113N08684,16,10,5
113N08681,150,32,9
113N08682,229,41,8
115N09760,3,3,2
115N09775,23,18,6
115N09774,22,10,5
115N09773,5,5,2
115N09772,21,15,5
115N09779,52,23,7
115N09777,11,8,4
115N09776,22,8,6
113N08675,1185,178,12
113N08674,497,117,9
113N08677,252,90,10
113N08676,130,65,8
113N08679,180,111,12
113N08678,972,157,12
113N08670,107,40,4
113N08671,442,67,9
113N08672,118,64,9
113N08673,119,62,9
115N09770,84,30,9
115N09771,23,14,4
115N09744,164,87,12
115N09743,242,108,11
115N09746,27,23,8
115N09745,45,37,11
115N09742,29,22,7
115N09741,63,34,9
113N12820,87,21,6
113N08669,297,52,7
113N12821,59,38,9
113N08668,598,63,7
113N08667,315,53,6
113N12824,368,160,12
115N09748,40,18,5
113N08666,120,48,6
113N12825,222,39,10
113N08665,23,14,5
115N09747,62,28,9
113N12822,114,43,7
113N08664,19,15,5
113N12823,9,9,4
115N09749,29,20,7
113N08663,24,12,4
113N12818,37,27,6
113N08661,298,37,7
113N08662,26,12,4
113N12817,8,7,4
113N08660,338,35,8
113N12815,19,9,3
115N09757,26,10,6
115N09756,30,10,6
115N09755,27,7,4
115N09754,54,8,5
115N09753,36,8,4
115N09752,14,13,8
115N09751,6,5,4
115N09750,57,30,8
113N08657,357,59,8
113N08656,414,77,8
113N08659,661,97,11
113N12810,111,41,7
113N08658,89,46,7
113N08653,1032,146,10
113N12811,103,51,8
113N12812,305,58,7
113N08652,541,132,9
113N08655,51,18,6
113N12813,4,3,2
113N12814,3,3,1
113N08654,207,33,10
115N09758,9,6,3
113N12805,59,34,10
113N12804,97,26,4
113N12807,185,56,8
113N08650,98,17,7
113N08651,110,22,7
113N12806,61,35,6
113N12809,90,45,7
113N12808,34,27,5
113N10823,62,40,8
115P05969,22,16,11
114P09571,3,3,2
113N10822,123,39,8
113N10821,60,24,8
113N10820,144,42,10
115P05965,338,90,14
114P09575,17,4,4
115P05966,562,84,11
115P05968,50,37,9
114P09574,34,6,3
115P05961,15,10,4
115P05962,55,27,8
113N12837,2147,525,13
113N12838,77,49,8
113N12839,33,18,4
115N09727,15,11,5
113N12845,3,3,1
113N12844,70,17,10
115N09725,18,10,8
113N12847,3,3,3
115N09726,16,11,7
113N12846,106,23,6
113N12841,61,24,8
113N12840,42,12,6
115N09729,38,10,6
113N12843,122,46,8
113N12842,51,34,7
113N10819,113,37,9
115N09720,46,35,7
114P09579,90,25,9
113N10817,206,73,9
114P09578,17,16,8
113N10818,197,71,8
114P09577,126,29,8
115N09723,93,32,12
113N10815,105,50,8
115N09724,55,34,12
113N10816,59,33,9
113N10813,286,102,9
115N09721,2,2,2
115N09722,97,26,10
113N10810,36,17,7
114P09560,72,13,5
113N10812,8,7,3
114P09561,42,14,5
113N10811,26,17,6
114P09563,83,12,6
115P05974,61,37,8
115P05975,48,25,8
115P05973,65,32,8
113N12828,362,21,8
115P05970,183,14,6
115P05971,193,11,4
113N12829,38,22,9
113N12826,19,9,3
113N12827,362,39,10
115N09736,46,33,7
113N12835,72,29,5
115N09737,20,13,7
115N09738,59,47,8
113N12834,9,6,3
113N12833,155,76,12
115N09739,112,77,9
114P04209,250,130,13
113N12832,119,58,9
113N12831,537,243,14
114P04208,493,200,14
114P04207,686,255,14
113N12830,2,2,1
114P04206,548,228,14
114P04205,888,269,15
114P09567,84,11,6
113N10806,23,8,4
114P04204,306,133,13
113N10807,15,7,6
114P04203,290,151,12
114P09569,88,29,5
115N09730,8,8,5
113N10808,9,3,2
113N10809,54,22,7
114P04202,219,129,12
114P09568,394,94,13
115N09731,13,5,4
115N09732,2,2,2
114P04201,838,252,15
113N10802,80,35,9
114P04200,459,219,15
113N10803,79,45,9
115N09733,178,67,10
115N09734,147,77,10
113N10804,13,12,8
113N10805,56,24,4
115N09735,127,56,9
113N10841,104,43,10
113N10840,119,35,8
114P09554,84,15,7
114P09551,59,15,5
114P09552,92,22,9
113N10845,65,30,6
114P09550,74,15,7
113N10844,68,41,8
113N10843,416,114,10
113N10842,152,76,11
113N12859,84,25,6
115P05983,137,41,9
115P05984,15,10,4
115P05985,30,7,4
115N09709,28,17,6
113N12862,27,8,4
113N12865,102,68,9
115N09707,136,63,10
115N09708,170,58,10
113N12864,169,49,7
113N12867,95,37,10
115N09705,119,49,10
113N12866,47,37,7
115N09706,109,59,9
115N09703,122,49,10
113N12869,105,20,6
113N12868,159,69,12
115N09704,157,66,11
